row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
12,send_message,10,,,,,,"Quick tip: When you give your baby your full attention, you make them feel secure and loved. Try to spend at least 20 minutes a day playing with your baby. Switch off the television and put away phones. Make it fun!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/parent_and_baby.jpg,,,,cea06914-70ad-4885-8af0-2c2dbcb14b98,,execute_actions,250;2920
13,split_by_value,9,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,8c511216-e78b-4719-b414-3a2ec0d95132,,split_by_expression,595;2500
14,send_message,13,,@fields.child_nickname,has_text,child_nickname,,Quick tip: Spending time with your child is free and even 5 minutes a day can make a difference. Try asking @fields.child_nickname what they would like to do together. It can be fun and relaxing for you too!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/playing_family.jpg,,,,6dfb1e09-53c4-4998-9fb6-1853b28f52b5,,execute_actions,470;2700
15,send_message,13,,,,,,Quick tip: Spending time with your child is free and even 5 minutes a day can make a difference. Try asking your child what they would like to do together. It can be fun and relaxing for you too!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/playing_family.jpg,,,,06dfc126-7f6d-43fb-b680-8adfff13fe43,,execute_actions,720;2700
16,split_by_value,8,My child to behave better,,has_only_phrase,2,,@fields.child_nickname,,,,,,,,,,,,,,,71d251af-e57b-4d85-b45d-980d29262575,,split_by_expression,4875;2220
17,send_message,16,,@fields.child_nickname,has_text,child_nickname,,"Quick tip: All children misbehave. One thing that can help is to praise @fields.child_nickname anytime that they do something good – however small. They may not look like they want your praise but they still really, really do.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/misbehaving_children.jpg,,,,0a98216d-dcbc-4aa0-9734-0fdee76efa21,,execute_actions,4750;2420
18,send_message,16,,,,,,"Quick tip: All children misbehave. One thing that can help is to praise your child anytime that they do something good – however small. They may not look like they want your praise but they still really, really do.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/misbehaving_children.jpg,,,,2d5f9962-39a3-4168-a4c2-9ead2ebb6914,,execute_actions,5000;2420
19,send_message,8,My child to do better at school,,has_only_phrase,3,,Quick tip: It is really hard to help our children continue learning when schools are closed or part-open. One thing that might be helpful is to try and set up a daily schedule that includes time for schoolwork and time for fun.,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/Family_writing_together.jpg,,,,7b6eb8f4-7638-426a-84c4-8575a5a73a90,,execute_actions,10260;2200
20,send_message,8,To talk to my child about COVID-19,,has_only_phrase,4,,"Quick tip: It can be difficult to know how to talk to your children about something like COVID-19, especially since we are learning about it too. 

The important thing is to be open and listen to your children. Be honest and supportive. Show them that you care.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/talking_on_the_couch.jpg,,,,f1e84e55-0a0b-4fac-a123-77f9d2adec02,,execute_actions,11520;2180
21,send_message,8,"Feel less stress, loneliness or anger",,has_only_phrase,5,,"Quick tip: Caring for yourself is really important. Take five deep breaths when you feel overwhelmed. Try talking to a friend, or doing something relaxing for yourself? You deserve it!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/frustrated_parent.jpg,,,,a7e09476-9cab-4e26-a555-015b49ce302f,,execute_actions,12070;2420
22,send_message,8,Worry less about money,,has_only_phrase,6,,"Quick tip: It is normal to be stressed about money. Talk to your children about how much money comes in and what you spend money on as a family each month. When everyone sees where the money goes, it is easier to agree on where you can save money together!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/family_budgeting.jpg,,,,b9752c26-f3fb-4bbb-9a0b-9150b145d804,,execute_actions,310;3660
23,send_message,8,Less conflict in my family,,has_only_phrase,7,,"Quick tip: This is a stressful time for all of us. When a problem comes up, talk about it together! What is the problem exactly? What different solutions are there and what are the consequences of one? That way, you can find a solution that can be OK for everyone.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/two_parents_talking_together.jpg,,,,7a91561c-0a4b-44d2-b0c1-94dffe02d229,,execute_actions,820;3640
24,split_by_value,8,Know more about how to keep my child safe,,has_only_phrase,8,,@fields.child_nickname,,,,,,,,,,,,,,,a6345504-0119-45ad-ae26-efa04444dbc0,,split_by_expression,9955;3440
25,send_message,24,,@fields.child_nickname,has_text,child_nickname,,"Quick tip: Try to start a conversation with @fields.child_nickname about safe and unsafe places in your community and online. They may even know some you don’t. This will help you make a plan together about how to stay safe.

We hope this small tip will help. More support will be given later on when we talk about keeping my child safe.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/parent_and_child_with_tablet.jpg,,,,eb2ab8b8-dc59-4f79-b54a-0b5db81bced1,,execute_actions,9830;3640
26,send_message,24,,,,,,"Quick tip: Try to start a conversation with your child about safe and unsafe places in your community and online. They may even know some you don’t. This will help you make a plan together about how to stay safe.

We hope this small tip will help. More support will be given later on when we talk about keeping my child safe.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/parent_and_child_with_tablet.jpg,,,,ff98f664-9591-4da3-ace6-b67eba9b3da3,,execute_actions,10080;3640
